id_domanda,title,id_docente,text,label
id_0,Quali sono le caratteristiche principali dell'arte egizia?,docente.archeologia,"L'arte egizia è nota per le sue grandi costruzioni come piramidi e templi, l'uso di geroglifici e rappresentazioni stilizzate di figure umane e divinità, spesso con proporzioni canoniche e postura frontale.",4
id_0,Quali sono le caratteristiche principali dell'arte egizia?,docente.archeologia,L'arte egizia è principalmente famosa per i suoi dipinti astratti e l'uso prevalente del ferro nelle sculture.,1
id_1,Come si sono evolute le tecniche di costruzione nel periodo romano?,docente.archeologia,"Le tecniche di costruzione romane hanno visto significativi progressi con l'introduzione del calcestruzzo, permettendo la creazione di strutture innovative come le cupole e gli acquedotti, che hanno migliorato l'architettura e l'ingegneria civile.",4
id_1,Come si sono evolute le tecniche di costruzione nel periodo romano?,docente.archeologia,"Le tecniche di costruzione romane sono rimaste invariate dal periodo greco, focalizzandosi esclusivamente su elementi decorativi piuttosto che su innovazioni strutturali.",1
id_2,Qual è l'importanza di Pompei per la comprensione della vita quotidiana nell'antica Roma?,docente.archeologia,"Pompei offre uno sguardo senza precedenti sulla vita quotidiana degli antichi Romani, grazie alla conservazione di edifici, affreschi e artefatti quotidiani, offrendo preziose informazioni sulle abitudini, la cultura e la società dell'epoca.",3
id_2,Qual è l'importanza di Pompei per la comprensione della vita quotidiana nell'antica Roma?,docente.archeologia,"Pompei è rilevante principalmente per le sue rovine architettoniche che dimostrano l'uso avanzato del marmo, ignorando il contesto storico e sociale degli abitanti.",1
id_3,In che modo l'arte greca ha influenzato quella romana?,docente.archeologia,"L'arte greca ha fortemente influenzato quella romana attraverso l'adozione di stili, tecniche e temi, come la rappresentazione del corpo umano e la mitologia, che i Romani hanno integrato e adattato alle loro esigenze culturali e politiche.",4
id_3,In che modo l'arte greca ha influenzato quella romana?,docente.archeologia,"L'arte romana ha rigettato completamente l'influenza greca, sviluppando uno stile completamente indipendente focalizzato esclusivamente su temi astratti e geometrici.",0
id_4,Quali scoperte archeologiche hanno cambiato la nostra comprensione della preistoria?,docente.archeologia,"La scoperta di siti come Lascaux in Francia e Altamira in Spagna, con le loro pitture rupestri, ha rivoluzionato la nostra comprensione dell'espressione artistica e culturale delle società preistoriche.",4
id_4,Quali scoperte archeologiche hanno cambiato la nostra comprensione della preistoria?,docente.archeologia,"La scoperta delle piramidi egizie ha cambiato la nostra comprensione della preistoria, dimostrando che le società antiche erano esclusivamente focalizzate sulla costruzione di monumenti funerari.",0
id_5,Come viene utilizzata la datazione al carbonio-14 in archeologia?,docente.archeologia,"La datazione al carbonio-14 è utilizzata per determinare l'età di materiali organici fino a circa 50.000 anni fa, fornendo una cronologia accurata per il sito o l'oggetto studiato.",4
id_5,Come viene utilizzata la datazione al carbonio-14 in archeologia?,docente.archeologia,"La datazione al carbonio-14 viene utilizzata per determinare l'origine geografica degli oggetti antichi, identificando i luoghi esatti da cui provengono.",1
id_6,Quali sono le differenze tra l'arte paleocristiana e quella bizantina?,docente.archeologia,"L'arte paleocristiana si concentra su simboli semplici e narrazioni bibliche in catacombe e altri luoghi di culto, mentre l'arte bizantina sviluppa uno stile più raffinato con l'uso di mosaici dorati, icone e una maggiore enfasi sulla spiritualità.",5
id_6,Quali sono le differenze tra l'arte paleocristiana e quella bizantina?,docente.archeologia,Non esistono differenze significative tra l'arte paleocristiana e quella bizantina; entrambe condividono gli stessi temi e tecniche senza variazioni nel tempo.,0
id_7,Che ruolo ha avuto l'acquedotto nell'antica civiltà romana?,docente.archeologia,"Gli acquedotti hanno permesso il trasporto di acqua pulita nelle città, migliorando notevolmente la salute pubblica e sostenendo la crescita urbana.",5
id_7,Che ruolo ha avuto l'acquedotto nell'antica civiltà romana?,docente.archeologia,"Gli acquedotti erano puramente decorativi, utilizzati come simboli di status senza una funzione pratica.",0
id_8,Come interpretare le pitture rupestri del Paleolitico?,docente.archeologia,"Le pitture rupestri del Paleolitico sono interpretate come espressioni culturali che rappresentano la vita quotidiana, le credenze religiose e le conoscenze astronomiche delle società preistoriche.",4
id_8,Come interpretare le pitture rupestri del Paleolitico?,docente.archeologia,"Le pitture rupestri del Paleolitico sono semplici decorazioni senza significato, realizzate per passare il tempo.",0
id_9,Quali sono stati gli impatti del Rinascimento sulla società europea?,docente.archeologia,"Il Rinascimento ha promosso il rinascere dell'interesse per le arti, la scienza e l'umanesimo, influenzando profondamente la cultura, la politica e la religione in Europa.",3
id_9,Quali sono stati gli impatti del Rinascimento sulla società europea?,docente.archeologia,"Il Rinascimento ha avuto poco impatto sulla società europea, rimanendo un fenomeno isolato senza influenze culturali o scientifiche.",0
id_10,Cosa distingue l'architettura gotica da quella romanica?,docente.archeologia,"L'architettura gotica si distingue per l'uso di arcate a sesto acuto, volta a crociera e supporti snelli come i contrafforti volanti, rispetto alla massiccia semplicità e alle cupole semicircolari del romanico.",5
id_10,Cosa distingue l'architettura gotica da quella romanica?,docente.archeologia,"L'architettura gotica e quella romanica non presentano differenze significative, condividendo gli stessi elementi stilistici e strutturali.",1
id_11,In che modo gli scavi di Ercolano hanno contribuito alla nostra conoscenza dell'antichità?,docente.archeologia,"Gli scavi di Ercolano hanno fornito preziose informazioni sulla vita quotidiana romana, preservando edifici e oggetti coperti dalla cenere vulcanica, simili a Pompei ma meglio conservati.",4
id_11,In che modo gli scavi di Ercolano hanno contribuito alla nostra conoscenza dell'antichità?,docente.archeologia,"Gli scavi di Ercolano non hanno offerto nuove informazioni sull'antichità, essendo una replica moderna di una città antica.",0
id_12,Quali tecniche artistiche sono state utilizzate nell'antico Egitto per la realizzazione dei sarcofagi?,docente.archeologia,"Nell'antico Egitto, i sarcofagi erano realizzati con legno o pietra e decorati con pitture e incisioni che rappresentavano testi funerari e scene della vita dopo la morte, utilizzando tecniche avanzate di lavorazione.",5
id_12,Quali tecniche artistiche sono state utilizzate nell'antico Egitto per la realizzazione dei sarcofagi?,docente.archeologia,"I sarcofagi egizi erano semplicemente scavati nel terreno senza alcuna decorazione o tecnica artistica, riflettendo pratiche di sepoltura primitive.",0
id_13,Come viene definito il periodo dell'arte barocca e quali sono le sue caratteristiche principali?,docente.archeologia,"Il periodo barocco è definito dal dinamismo, dall'esuberanza e dalla ricchezza decorativa, caratterizzato dall'uso di contrasti forti, movimento, espressioni drammatiche e una tendenza verso la grandiosità in tutte le forme d'arte.",5
id_13,Come viene definito il periodo dell'arte barocca e quali sono le sue caratteristiche principali?,docente.archeologia,"Il barocco si concentra principalmente sull'astrazione e la semplicità delle forme, preferendo linee pulite e un approccio minimalista all'arte.",0
id_14,Qual è il significato dei megaliti di Stonehenge?,docente.archeologia,"Stonehenge è generalmente interpretato come un complesso preistorico usato per osservazioni astronomiche, cerimonie religiose o pratiche sociali rituali.",3
id_14,Qual è il significato dei megaliti di Stonehenge?,docente.archeologia,"Stonehenge era un antico mercato per il commercio locale, dove le persone si incontravano per scambiare beni e servizi.",0
id_15,Quali fattori hanno contribuito al declino dell'Impero Romano?,docente.archeologia,"Il declino dell'Impero Romano è stato causato da una combinazione di fattori interni come la corruzione, l'instabilità politica, l'eccessiva espansione e pressioni esterne da parte dei popoli barbarici.",4
id_15,Quali fattori hanno contribuito al declino dell'Impero Romano?,docente.archeologia,"Il declino è stato principalmente il risultato dell'invasione degli alieni, che hanno soverchiato le legioni romane con tecnologia superiore.",0
id_16,In che modo la ceramica fornisce informazioni sugli antichi popoli?,docente.archeologia,"La ceramica, con i suoi stili decorativi e le tecniche di produzione, offre preziose informazioni sulla vita quotidiana, le pratiche commerciali e le interazioni culturali degli antichi popoli.",4
id_16,In che modo la ceramica fornisce informazioni sugli antichi popoli?,docente.archeologia,La ceramica antica è utile esclusivamente per determinare i livelli di consumo di tè e caffè nelle antiche civiltà.,0
id_17,Come influenzava la religione l'arte nell'antico Egitto?,docente.archeologia,"Nell'antico Egitto, la religione aveva un profondo impatto sull'arte, che era prevalentemente usata per scopi funerari o di culto, rappresentando divinità, riti religiosi e credenze nell'aldilà.",4
id_17,Come influenzava la religione l'arte nell'antico Egitto?,docente.archeologia,L'arte egizia era completamente laica e non era influenzata in alcun modo dalle pratiche religiose o spirituali dell'epoca.,0
