id,text,label,id_docente
id_0,Quali sono le caratteristiche principali dell'arte egizia?,Arte Egizia,docente.archeologia
id_1,Come si sono evolute le tecniche di costruzione nel periodo romano?,Architettura Romana,docente.archeologia
id_2,Qual è l'importanza di Pompei per la comprensione della vita quotidiana nell'antica Roma?,Vita Quotidiana Romana,docente.archeologia
id_3,In che modo l'arte greca ha influenzato quella romana?,Influenza Greca nell'Arte Romana,docente.archeologia
id_4,Quali scoperte archeologiche hanno cambiato la nostra comprensione della preistoria?,Scoperte Preistoriche,docente.archeologia
id_5,Come viene utilizzata la datazione al carbonio-14 in archeologia?,Datazione al Carbonio-14,docente.archeologia
id_6,Quali sono le differenze tra l'arte paleocristiana e quella bizantina?,Arte Paleocristiana vs Bizantina,docente.archeologia
id_7,Che ruolo ha avuto l'acquedotto nell'antica civiltà romana?,Acquedotti Romani,docente.archeologia
id_8,Come interpretare le pitture rupestri del Paleolitico?,Pitture Rupestri Paleolitiche,docente.archeologia
id_9,Quali sono stati gli impatti del Rinascimento sulla società europea?,Impatti del Rinascimento,docente.archeologia
id_10,Cosa distingue l'architettura gotica da quella romanica?,Architettura Gotica vs Romanica,docente.archeologia
id_11,In che modo gli scavi di Ercolano hanno contribuito alla nostra conoscenza dell'antichità?,Scavi di Ercolano,docente.archeologia
id_12,Quali tecniche artistiche sono state utilizzate nell'antico Egitto per la realizzazione dei sarcofagi?,Tecniche Artistiche Egizie,docente.archeologia
id_13,Come viene definito il periodo dell'arte barocca e quali sono le sue caratteristiche principali?,Arte Barocca,docente.archeologia
id_14,Qual è il significato dei megaliti di Stonehenge?,Stonehenge,docente.archeologia
id_15,Quali fattori hanno contribuito al declino dell'Impero Romano?,Declino dell'Impero Romano,docente.archeologia
id_16,In che modo la ceramica fornisce informazioni sugli antichi popoli?,Ceramica Antica,docente.archeologia
id_17,Come influenzava la religione l'arte nell'antico Egitto?,Religione e Arte Egizia,docente.archeologia
id_18,Quali sono le principali differenze tra l'arte del Rinascimento e quella del Medioevo?,Rinascimento vs Medioevo,docente.archeologia
id_19,Come venivano realizzati i mosaici bizantini e quale era il loro scopo?,Mosaici Bizantini,docente.archeologia
id_20,In che modo la scoperta di Troia ha influenzato la comprensione dell'Iliade di Omero?,Scoperta di Troia,docente.archeologia
id_21,Quali erano le principali funzioni dei castelli medievali?,Castelli Medievali,docente.archeologia
id_22,Come si distinguono le varie fasi dell'arte greca antica?,Fasi dell'Arte Greca,docente.archeologia
id_23,Quali tecniche venivano utilizzate per la fusione del bronzo nella statuaria greca?,Fusione del Bronzo nella Statuaria Greca,docente.archeologia
id_24,Quali sono stati i principali centri culturali dell'arte rinascimentale?,Centri Culturali del Rinascimento,docente.archeologia
id_25,In che modo l'analisi dei pigmenti aiuta a comprendere le tecniche pittoriche antiche?,Analisi dei Pigmenti,docente.archeologia
id_26,Qual è stata l'importanza degli scavi di Mycenae per la comprensione della civiltà micenea?,Scavi di Mycenae,docente.archeologia
id_27,Come si differenziano le tombe etrusche da quelle romane?,Tombe Etrusche vs Romane,docente.archeologia
id_28,In che modo l'arte romana rifletteva la società e i valori dell'epoca?,Arte Romana e Società,docente.archeologia
id_29,Quali sono le principali caratteristiche dell'architettura mesopotamica?,Architettura Mesopotamica,docente.archeologia
id_30,Come veniva rappresentata la figura umana nell'arte cicladica?,Arte Cicladica,docente.archeologia
id_31,Quali sono le principali fonti per lo studio della storia dell'arte dell'antica Grecia?,Fonti Storiche dell'Arte Greca,docente.archeologia
id_32,Quali erano le funzioni sociali e religiose dell'arte nella società Maya?,Arte Maya,docente.archeologia
id_33,In che modo le armi e gli strumenti vengono utilizzati per datare i siti archeologici?,Datazione dei Siti Archeologici,docente.archeologia
id_34,Qual è il significato simbolico dei colori nell'arte egizia?,Simbolismo dei Colori nell'Arte Egizia,docente.archeologia
id_35,Come l'uso dei materiali influenzava lo stile artistico nell'antichità?,Materiali e Stile Artistico Antico,docente.archeologia
id_36,Quali sono le principali differenze tra l'architettura classica e quella neoclassica?,Classica vs Neoclassica,docente.archeologia
id_37,Come venivano selezionati e utilizzati i siti per la costruzione dei templi greci?,Costruzione dei Templi Greci,docente.archeologia
id_38,Qual è stato l'impatto dell'invenzione della stampa sull'arte e sulla cultura?,Invenzione della Stampa,docente.archeologia
id_39,Come venivano realizzate e utilizzate le monete nell'antica Roma?,Monete nell'Antica Roma,docente.archeologia
id_40,Qual è l'importanza dei ritrovamenti di Akrotiri per la comprensione della civiltà minoica?,Ritrovamenti di Akrotiri,docente.archeologia
id_41,In che modo l'arte e l'architettura riflettono il potere e la religione nell'Impero Bizantino?,Arte e Architettura Bizantina,docente.archeologia
id_42,Come l'analisi del DNA sta cambiando la nostra comprensione delle migrazioni antiche?,Analisi del DNA e Migrazioni Antiche,docente.archeologia
id_43,Quali tecniche di conservazione sono utilizzate per preservare le opere d'arte antiche?,Tecniche di Conservazione,docente.archeologia
id_44,In che modo l'arte dell'antico Egitto è stata influenzata dalla sua geografia?,Influenza della Geografia sull'Arte Egizia,docente.archeologia
id_45,Quali erano le principali tecniche di scultura utilizzate nella Grecia antica?,Tecniche di Scultura nella Grecia Antica,docente.archeologia
id_46,Come si sono sviluppate le città-stato nella Grecia antica e quale era il loro ruolo nella società?,Città-Stato nella Grecia Antica,docente.archeologia
id_47,Quali fattori hanno influenzato lo sviluppo dell'architettura gotica?,Sviluppo dell'Architettura Gotica,docente.archeologia
id_48,In che modo gli affreschi di Pompei ci forniscono informazioni sulla vita e l'arte dell'epoca?,Affreschi di Pompei,docente.archeologia
id_49,Quali sono le principali caratteristiche delle sculture dell'arte romanica?,Sculture dell'Arte Romanica,docente.archeologia
id_50,Come l'arte ha influenzato la politica nell'antica Grecia?,Arte e Politica nell'Antica Grecia,docente.archeologia
id_51,Quali sono le tecniche di navigazione e mappatura utilizzate dalle antiche civiltà marinare?,Navigazione e Mappatura Antiche,docente.archeologia
id_52,Come l'arte rupestre può essere interpretata per comprendere le culture preistoriche?,Interpretazione dell'Arte Rupestre,docente.archeologia
id_53,Quali sono state le influenze culturali sull'arte della Mesopotamia?,Influenze Culturali sull'Arte Mesopotamica,docente.archeologia
id_54,In che modo le tecniche di restauro moderne possono influenzare la percezione delle opere d'arte antiche?,Tecniche di Restauro Moderne,docente.archeologia
id_55,Qual è stata l'importanza della Via della Seta per lo scambio culturale e artistico?,Importanza della Via della Seta,
id_56,Quale innovazione nell'architettura romana ha permesso la costruzione di grandi spazi interni coperti?,Architettura Romana,docente.archeologia
id_57,Qual è una differenza principale tra l'arte classica greco-romana e quella neoclassica?,Classica vs Neoclassica,docente.archeologia
id_58,Quale metodo di datazione è comunemente utilizzato per determinare l'età di siti archeologici antichi?,Datazione dei Siti Archeologici,docente.archeologia
id_59,Qual è stata una delle cause principali del declino dell'Impero Romano d'Occidente?,Declino dell'Impero Romano,docente.archeologia
id_60,Qual era la tecnica predominante utilizzata dai Greci antichi per la fusione delle statue in bronzo?,Fusione del Bronzo nella Statuaria Greca,docente.archeologia
id_61,Qual era la principale funzione delle monete nell'antica Roma?,Monete nell'Antica Roma,docente.archeologia
id_62,Chi è accreditato per la scoperta del sito archeologico di Troia?,Scoperta di Troia,docente.archeologia
